best_k_ga, avg_t_ga, ga_total_time, best_k_exh, avg_t_exh, exh_total_time
16 , 0.15938959121704102 , 10.525315523147583 , 19 , 0.15933931668599446 , 120.6887834072113
16 , 0.15933351516723632 , 10.242823839187622 , 13 , 0.15937469800313314 , 120.9007875919342
16 , 0.1597984790802002 , 10.404692649841309 , 13 , 0.15983727773030598 , 120.97632884979248
17 , 0.16724495887756347 , 10.361334323883057 , 18 , 0.15950827598571776 , 120.75135970115662
16 , 0.1596861203511556 , 10.105136394500732 , 15 , 0.1596129258473714 , 119.88228750228882
17 , 0.15963624318440756 , 10.124104022979736 , 18 , 0.1597451686859131 , 119.9762372970581
17 , 0.15936368306477863 , 10.111835718154907 , 19 , 0.15939567883809408 , 119.81010460853577
17 , 0.1592522939046224 , 10.136091947555542 , 15 , 0.1592344919840495 , 120.1614625453949
16 , 0.15973936716715495 , 10.162303686141968 , 17 , 0.15978431701660156 , 120.01341342926025
15 , 0.15943776766459147 , 10.620287418365479 , 19 , 0.15938520431518555 , 119.93466472625732
16 , 0.15934181213378906 , 10.112180471420288 , 14 , 0.15932957331339517 , 120.0144031047821
16 , 0.15957287152608235 , 10.114104509353638 , 12 , 0.1734972318013509 , 120.13101196289062
15 , 0.15947577158610027 , 10.135769605636597 , 16 , 0.15944461822509765 , 119.83192944526672
18 , 0.15936492284138998 , 10.125082969665527 , 13 , 0.15935239791870118 , 120.18640851974487
16 , 0.1596253236134847 , 10.125596046447754 , 18 , 0.16216545104980468 , 120.40544843673706
17 , 0.1602717399597168 , 10.115700721740723 , 14 , 0.15930604934692383 , 120.54463601112366
16 , 0.1592061678568522 , 10.234001636505127 , 19 , 0.15923797289530436 , 119.79092931747437
18 , 0.15955495834350586 , 10.112297296524048 , 16 , 0.15959323247273763 , 121.1996340751648
17 , 0.15939820607503255 , 10.112215518951416 , 15 , 0.15942543347676594 , 119.75773882865906
17 , 0.159291140238444 , 10.121461391448975 , 12 , 0.15931272506713867 , 119.95239067077637
